card name,category,secondary categories,label,modifier,salt,color,cmc,rarity,types,price,card text
Charismatic Conqueror,Tokens,"",default,Normal,0.8,"White",2,rare,"Creature",18.99,"Vigilance Whenever an artifact or creature an opponent controls enters untapped, they may tap that permanent. If they don't, you create a 1/1 white Vampire creature token with lifelink."
Legion Lieutenant,Anthem,"",default,Normal,0.11,"White,Black",2,uncommon,"Creature",0.35,"Other Vampires you control get +1/+1."
Welcoming Vampire,Draw,"",default,Normal,0.22,"White",3,rare,"Creature",2.29,"Flying Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn."
Rakish Heir,Counters,"",default,Normal,0.16,"Red",3,uncommon,"Creature",0.69,"Whenever a Vampire you control deals combat damage to a player, put a +1/+1 counter on it."
"Mavren Fein, Dusk Apostle",Tokens,"",default,Normal,0.23,"White",3,rare,"Creature",0.49,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink."
Stromkirk Captain,Anthem,"",default,Normal,0.16,"Red,Black",3,uncommon,"Creature",1.79,"First strike Other Vampire creatures you control get +1/+1 and have first strike."
"Laurine, the Diversion",Sac Outlet,"",default,Normal,0.5,"Red",3,rare,"Creature",0.49,"Partner with Kamber, the Plunderer (When this creature enters, target player may put Kamber into their hand from their library, then shuffle.) First strike {2}, Sacrifice an artifact or creature: Goad target creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)"
Blood Crypt,Land,"",default,Normal,0.22,"",0,rare,"Land",20.99,"({T}: Add {B} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped."
"Vito, Thorn of the Dusk Rose",Drain,"",default,Normal,0.95,"Black",3,rare,"Creature",10.99,"Whenever you gain life, target opponent loses that much life. {3}{B}{B}: Creatures you control gain lifelink until end of turn."
Markov Baron,Anthem,"",default,Normal,0.11,"Black",3,uncommon,"Creature",0.79,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Lifelink Other Vampires you control get +1/+1. Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
"Edgar, Charmed Groom // Edgar Markov's Coffin",Tokens,"",default,Normal,0.15,"White,Black",4,rare,"Creature,Artifact",5.49,"Other Vampires you control get +1/+1. When Edgar dies, return it to the battlefield transformed under its owner's control. // At the beginning of your upkeep, create a 1/1 white and black Vampire creature token with lifelink and put a bloodline counter on Edgar Markov's Coffin. Then if there are three or more bloodline counters on it, remove those counters and transform it."
"Kamber, the Plunderer",Draw,"",default,Normal,0,"Black",4,rare,"Creature",0.49,"Partner with Laurine, the Diversion (When this creature enters, target player may put Laurine into their hand from their library, then shuffle.) Lifelink Whenever a creature an opponent controls dies, you gain 1 life and create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")"
Baron Bertram Graywater,Tokens,"",default,Normal,0.16,"White,Black",4,uncommon,"Creature",0.35,"Whenever one or more tokens you control enter, create a 1/1 black Vampire Rogue creature token with lifelink. This ability triggers only once each turn. {1}{B}, Sacrifice another creature or artifact: Draw a card."
"Olivia, Opulent Outlaw",Ramp,"",default,Normal,0.19,"White,Red,Black",4,mythic,"Creature",8.49,"Flying, lifelink Whenever one or more outlaws you control deal combat damage to a player, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.) {3}, Sacrifice two Treasures: Put two +1/+1 counters on each creature you control. Activate only as a sorcery."
Sanctum Seeker,Drain,"",default,Normal,0.28,"Black",4,rare,"Creature",0.49,"Whenever a Vampire you control attacks, each opponent loses 1 life and you gain 1 life."
"Olivia, Crimson Bride",Recursion,"",default,Normal,0.39,"Red,Black",6,mythic,"Creature",8.99,"Flying, haste Whenever Olivia attacks, return target creature card from your graveyard to the battlefield tapped and attacking. It gains ""When you don't control a legendary Vampire, exile this creature."""
"Aclazotz, Deepest Betrayal // Temple of the Dead",Discard,"",default,Normal,0.71,"Black",5,mythic,"Creature,Land",8.99,"Flying, lifelink Whenever Aclazotz attacks, each opponent discards a card. For each opponent who can't, you draw a card. Whenever an opponent discards a land card, create a 1/1 black Bat creature token with flying. When Aclazotz dies, return it to the battlefield tapped and transformed under its owner's control. // (Transforms from Aclazotz, Deepest Betrayal.) {T}: Add {B}. {2}{B}, {T}: Transform this land. Activate only if a player has one or fewer cards in hand and only as a sorcery."
"Ojer Taq, Deepest Foundation // Temple of Civilization",Tokens,"",default,Normal,0.98,"White",6,mythic,"Creature,Land",39.99,"Vigilance If one or more creature tokens would be created under your control, three times that many of those tokens are created instead. When Ojer Taq dies, return it to the battlefield tapped and transformed under its owner's control. // (Transforms from Ojer Taq, Deepest Foundation.) {T}: Add {W}. {2}{W}, {T}: Transform this land. Activate only if you attacked with three or more creatures this turn and only as a sorcery."
Godless Shrine,Land,"",default,Normal,0.13,"",0,rare,"Land",13.99,"({T}: Add {W} or {B}.) As this land enters, you may pay 2 life. If you don't, it enters tapped."
Shadowy Backstreet,Land,"",default,Normal,0.17,"",0,rare,"Land",17.99,"({T}: Add {W} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Path of Ancestry,Land,"",default,Normal,0.13,"",0,common,"Land",0.39,"This land enters tapped. {T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)"
Command Tower,Land,"",default,Normal,0.38,"",0,common,"Land",0.79,"{T}: Add one mana of any color in your commander's color identity."
Savai Triome,Land,"",default,Normal,0.27,"",0,rare,"Land",29.99,"({T}: Add {R}, {W}, or {B}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)"
Marsh Flats,Land,"",default,Normal,0.33,"",0,rare,"Land",34.99,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle."
Shattered Sanctum,Land,"",default,Normal,0.06,"",0,rare,"Land",6.49,"This land enters tapped unless you control two or more other lands. {T}: Add {W} or {B}."
Raucous Theater,Land,"",default,Normal,0.2,"",0,rare,"Land",19.99,"({T}: Add {B} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Bloodstained Mire,Land,"",default,Normal,0.19,"",0,rare,"Land",22.99,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle."
Elegant Parlor,Land,"",default,Normal,0.11,"",0,rare,"Land",17.99,"({T}: Add {R} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Arid Mesa,Land,"",default,Normal,0.2,"",0,rare,"Land",34.99,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle."
Sacred Foundry,Land,"",default,Normal,0.16,"",0,rare,"Land",15.99,"({T}: Add {R} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped."
Haunted Ridge,Land,"",default,Normal,0.18,"",0,rare,"Land",11.99,"This land enters tapped unless you control two or more other lands. {T}: Add {B} or {R}."
Voldaren Estate,Land,"",default,Normal,0.09,"",0,rare,"Land",0.59,"{T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a Vampire spell. {5}, {T}: Create a Blood token. This ability costs {1} less to activate for each Vampire you control. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")"
Secluded Courtyard,Land,"",default,Normal,0.02,"",0,uncommon,"Land",0.59,"As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type."
Sundown Pass,Land,"",default,Normal,0.11,"",0,rare,"Land",12.99,"This land enters tapped unless you control two or more other lands. {T}: Add {R} or {W}."
Vault of the Archangel,Land,"",default,Normal,0.24,"",0,rare,"Land",1.79,"{T}: Add {C}. {2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn."
"Takenuma, Abandoned Mire",Land,"",default,Normal,0.22,"",0,rare,"Land",15.99,"{T}: Add {B}. Channel — {3}{B}, Discard this card: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control."
"Anje, Maid of Dishonor",Draw,"",default,Normal,0.35,"Red,Black",4,rare,"Creature",0.79,"Whenever Anje and/or one or more other Vampires you control enter, create a Blood token. This ability triggers only once each turn. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."") {2}, Sacrifice another creature or a Blood token: Each opponent loses 2 life and you gain 2 life."
Bloodletter of Aclazotz,Drain,"",default,Normal,1.09,"Black",4,mythic,"Creature",37.99,"Flying If an opponent would lose life during your turn, they lose twice that much life instead. (Damage causes loss of life.)"
Bloodthirsty Conqueror,Lifegain,"",default,Normal,1.31,"Black",5,mythic,"Creature",44.99,"Flying, deathtouch Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)"
Roaming Throne,Copy,"",default,Normal,1.45,"",4,rare,"Creature,Artifact",74.99,"Ward {2} As this creature enters, choose a creature type. This creature is the chosen type in addition to its other types. If a triggered ability of another creature you control of the chosen type triggers, it triggers an additional time."
Crackling Doom,Removal,"",default,Normal,0.31,"White,Red,Black",3,uncommon,"Instant",0.39,"Crackling Doom deals 2 damage to each opponent. Each opponent sacrifices a creature with the greatest power among creatures that player controls."
March of the Canonized,Tokens,"",default,Normal,0.22,"White",2,rare,"Enchantment",0.69,"When this enchantment enters, create X 1/1 white Vampire creature tokens with lifelink. At the beginning of your upkeep, if your devotion to white and black is seven or greater, create a 4/3 white and black Vampire Demon creature token with flying."
Forerunner of the Legion,Tutor,"",default,Normal,0.62,"White",3,uncommon,"Creature",2.49,"When this creature enters, you may search your library for a Vampire card, reveal it, then shuffle and put that card on top. Whenever another Vampire you control enters, target creature gets +1/+1 until end of turn."
Akroma's Will,Protection,"",default,Normal,1.18,"White",4,rare,"Instant",16.99,"Choose one. If you control a commander as you cast this spell, you may choose both instead. • Creatures you control gain flying, vigilance, and double strike until end of turn. • Creatures you control gain lifelink, indestructible, and protection from each color until end of turn."
"Florian, Voldaren Scion",Draw,"",default,Normal,0.22,"Red,Black",3,rare,"Creature",0.79,"First strike At the beginning of each of your postcombat main phases, look at the top X cards of your library, where X is the total amount of life your opponents lost this turn. Exile one of those cards and put the rest on the bottom of your library in a random order. You may play the exiled card this turn."
Malakir Rebirth // Malakir Mire,Protection,"",default,Normal,0.21,"Black",1,uncommon,"Instant,Land",15.99,"Choose target creature. You lose 2 life. Until end of turn, that creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control."" // This land enters tapped. {T}: Add {B}."
Tarrian's Journal // The Tomb of Aclazotz,Draw,"",default,Normal,0.13,"Black",2,rare,"Artifact,Land",0.79,"{T}, Sacrifice another artifact or creature: Draw a card. Activate only as a sorcery. {2}, {T}, Discard your hand: Transform Tarrian's Journal. // (Transforms from Tarrian's Journal.) {T}: Add {B}. {T}: You may cast a creature spell from your graveyard this turn. If you do, it enters with a finality counter on it and is a Vampire in addition to its other types. (If a creature with a finality counter on it would die, exile it instead.)"
Phyrexian Reclamation,Recursion,"",default,Normal,0.37,"Black",1,uncommon,"Enchantment",2.99,"{1}{B}, Pay 2 life: Return target creature card from your graveyard to your hand."
Thought Vessel,Ramp,"",default,Normal,0.27,"",2,common,"Artifact",3.49,"You have no maximum hand size. {T}: Add {C}."
Champion of Dusk,Draw,"",default,Normal,0.22,"Black",5,rare,"Creature",0.69,"When this creature enters, you draw X cards and you lose X life, where X is the number of Vampires you control."
Vault of Champions,Land,"",default,Normal,0.21,"",0,rare,"Land",20.99,"This land enters tapped unless you have two or more opponents. {T}: Add {W} or {B}."
"Elenda, Saint of Dusk",Lifegain,"",default,Normal,0.19,"White,Black",4,rare,"Creature",0.59,"Lifelink, hexproof from instants As long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total."
Blightstep Pathway // Searstep Pathway,Land,"",default,Normal,0.03,"",0,rare,"Land,Land",8.99,"{T}: Add {B}. // {T}: Add {R}."
Needleverge Pathway // Pillarverge Pathway,Land,"",default,Normal,0.13,"",0,rare,"Land,Land",4.99,"{T}: Add {R}. // {T}: Add {W}."
We Ride at Dawn,Ramp,"",default,Normal,0,"White",3,rare,"Enchantment",0.49,"Legendary creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a legendary creature spell pays for {1} or one mana of that creature's color.) Whenever your commander attacks, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery."""
Brightclimb Pathway // Grimclimb Pathway,Land,"",default,Normal,0.14,"",0,rare,"Land,Land",5.99,"{T}: Add {W}. // {T}: Add {B}."
Edgar Markov,Commander,"",default,Normal,2.05,"White,Red,Black",6,mythic,"Creature",39.99,"Eminence — Whenever you cast another Vampire spell, if Edgar is in the command zone or on the battlefield, create a 1/1 black Vampire creature token. First strike, haste Whenever Edgar attacks, put a +1/+1 counter on each Vampire you control."
Black Market Connections,Draw,"",default,Normal,0.56,"Black",3,rare,"Enchantment",22.99,"At the beginning of your first main phase, choose one or more — • Sell Contraband — Create a Treasure token. You lose 1 life. • Buy Information — Draw a card. You lose 2 life. • Hire a Mercenary — Create a 3/2 colorless Shapeshifter creature token with changeling. You lose 3 life. (It is every creature type.)"
Detection Tower,Land,"",default,Normal,0.19,"",0,rare,"Land",3.49,"{T}: Add {C}. {1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof."
"Vito, Fanatic of Aclazotz",Drain,"",default,Normal,0.47,"White,Black",4,mythic,"Creature",0.99,"Flying Whenever you sacrifice another permanent, you gain 2 life if this is the first time this ability has resolved this turn. If it's the second time, each opponent loses 2 life. If it's the third time, create a 4/3 white and black Vampire Demon creature token with flying."
Life Insurance,Ramp,"",default,Normal,0.31,"White,Black",5,rare,"Enchantment",0.49,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Whenever a nontoken creature dies, you lose 1 life and create a Treasure token."
Blood Artist,Drain,"",default,Normal,0.56,"Black",2,uncommon,"Creature",3.99,"Whenever this creature or another creature dies, target player loses 1 life and you gain 1 life."
Exquisite Blood,Lifegain,"",default,Normal,1.59,"Black",5,rare,"Enchantment",32.99,"Whenever an opponent loses life, you gain that much life."
"Drana, Liberator of Malakir",Counters,"",default,Normal,0.19,"Black",3,mythic,"Creature",1.79,"Flying, first strike Whenever Drana deals combat damage to a player, put a +1/+1 counter on each attacking creature you control."
Honeymoon Hearse,Sideboard,"Artifact",default,Normal,0.5,"Red",3,uncommon,"Artifact",0.35,"Trample Tap two untapped creatures you control: This Vehicle becomes an artifact creature until end of turn."
Rakdos Guildgate,Land,"",default,Normal,0.05,"",0,common,"Land",0.35,"This land enters tapped. {T}: Add {B} or {R}."
Maze's End,Land,"",default,Foil,0.55,"",0,mythic,"Land",1.99,"This land enters tapped. {T}: Add {C}. {3}, {T}, Return this land to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game."
Boros Guildgate,Land,"",default,Normal,0.12,"",0,common,"Land",0.35,"This land enters tapped. {T}: Add {R} or {W}."
Orzhov Guildgate,Land,"",default,Normal,0.04,"",0,common,"Land",0.39,"This land enters tapped. {T}: Add {W} or {B}."
Castle Locthwain,Land,"",default,Normal,0.1,"",0,rare,"Land",5.99,"This land enters tapped unless you control a Swamp. {T}: Add {B}. {1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand."
The Meathook Massacre,Removal,"",default,Normal,0.99,"Black",2,mythic,"Enchantment",32.99,"When The Meathook Massacre enters, each creature gets -X/-X until end of turn. Whenever a creature you control dies, each opponent loses 1 life. Whenever a creature an opponent controls dies, you gain 1 life."
Luxury Suite,Land,"",default,Normal,0.09,"",0,rare,"Land",37.99,"This land enters tapped unless you have two or more opponents. {T}: Add {B} or {R}."
Seal of the Guildpact,Ramp,"",default,Normal,0.29,"",5,rare,"Artifact",0.69,"As this artifact enters, choose two colors. Each spell you cast costs {1} less to cast for each of the chosen colors it is."
Heirloom Mirror // Inherited Fiend,Draw,"",default,Normal,0.07,"Black",2,uncommon,"Artifact,Creature",0.35,"{1}, {T}, Pay 1 life, Discard a card: Draw a card, mill a card, then put a ritual counter on this artifact. Then if it has three or more ritual counters on it, remove them and transform it. Activate only as a sorcery. // Flying {2}{B}: Exile target creature card from a graveyard. Put a +1/+1 counter on this creature."
White Lotus Tile,Ramp,"",default,Normal,null,"",4,mythic,"Artifact",6.49,"This artifact enters tapped. {T}: Add X mana of any one color, where X is the greatest number of creatures you control that have a creature type in common."
"Urborg, Tomb of Yawgmoth",Land,"",default,Normal,0.49,"",0,rare,"Land",64.99,"Each land is a Swamp in addition to its other land types."
