deck,card name,category,secondary categories,label,modifier,salt,color,cmc,rarity,types,price,card text,art
the-nobles,Welcoming Vampire,Draw,,default,Normal,0.22,White,3,rare,Creature,2.29,"Flying Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.",images/card_art/Welcoming_Vampire/Welcoming_Vampire_lcc_140_2ea7710e.png
the-nobles,Rakish Heir,Counters,,default,Normal,0.16,Red,3,uncommon,Creature,0.69,"Whenever a Vampire you control deals combat damage to a player, put a +1/+1 counter on it.",images/card_art/Rakish_Heir/Rakish_Heir_c17_140_6c216b82.png
the-nobles,"Mavren Fein, Dusk Apostle",Tokens,,default,Normal,0.23,White,3,rare,Creature,0.49,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink.","images/card_art/Mavren_Fein,_Dusk_Apostle/Mavren_Fein,_Dusk_Apostle_lcc_133_fdc3e998.png"
the-nobles,Stromkirk Captain,Anthem,,default,Normal,0.16,"Red,Black",3,uncommon,Creature,1.79,First strike Other Vampire creatures you control get +1/+1 and have first strike.,images/card_art/Stromkirk_Captain/Stromkirk_Captain_c17_197_759d0e2d.png
the-nobles,"Laurine, the Diversion",Sac Outlet,,default,Normal,0.5,Red,3,rare,Creature,0.49,"Partner with Kamber, the Plunderer (When this creature enters, target player may put Kamber into their hand from their library, then shuffle.) First strike {2}, Sacrifice an artifact or creature: Goad target creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)","images/card_art/Laurine,_the_Diversion/Laurine,_the_Diversion_otc_172_ca2b008e.png"
the-nobles,Blood Crypt,Land,,default,Normal,0.22,,0,rare,Land,20.99,"({T}: Add {B} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.",images/card_art/Blood_Crypt/Blood_Crypt_sld_125_1716b4dd.png
the-nobles,"Vito, Thorn of the Dusk Rose",Drain,,default,Normal,0.95,Black,3,rare,Creature,10.99,"Whenever you gain life, target opponent loses that much life. {3}{B}{B}: Creatures you control gain lifelink until end of turn.","images/card_art/Vito,_Thorn_of_the_Dusk_Rose/Vito,_Thorn_of_the_Dusk_Rose_j22_487_9c61e0ef.png"
the-nobles,Markov Baron,Anthem,,default,Normal,0.11,Black,3,uncommon,Creature,0.79,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Lifelink Other Vampires you control get +1/+1. Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",images/card_art/Markov_Baron/Markov_Baron_mat_14_a1dc6b0f.png
the-nobles,"Edgar, Charmed Groom // Edgar Markov's Coffin",Tokens,,default,Normal,0.15,"White,Black",4,rare,"Creature,Artifact",5.49,"Other Vampires you control get +1/+1. When Edgar dies, return it to the battlefield transformed under its owner's control. // At the beginning of your upkeep, create a 1/1 white and black Vampire creature token with lifelink and put a bloodline counter on Edgar Markov's Coffin. Then if there are three or more bloodline counters on it, remove those counters and transform it.","images/card_art/Edgar,_Charmed_Groom_Edgar_Markov's_Coffin/Edgar,_Charmed_Groom_Edgar_Markov's_Coffin_vow_236_63ba8eef_front.png"
the-nobles,"Kamber, the Plunderer",Draw,,default,Normal,0,Black,4,rare,Creature,0.49,"Partner with Laurine, the Diversion (When this creature enters, target player may put Laurine into their hand from their library, then shuffle.) Lifelink Whenever a creature an opponent controls dies, you gain 1 life and create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")","images/card_art/Kamber,_the_Plunderer/Kamber,_the_Plunderer_otc_137_fc7714b3.png"
the-nobles,Baron Bertram Graywater,Tokens,,default,Normal,0.16,"White,Black",4,uncommon,Creature,0.35,"Whenever one or more tokens you control enter, create a 1/1 black Vampire Rogue creature token with lifelink. This ability triggers only once each turn. {1}{B}, Sacrifice another creature or artifact: Draw a card.",images/card_art/Baron_Bertram_Graywater/Baron_Bertram_Graywater_otj_195_e9da18b4.png
the-nobles,"Olivia, Opulent Outlaw",Ramp,,default,Normal,0.19,"White,Red,Black",4,mythic,Creature,8.49,"Flying, lifelink Whenever one or more outlaws you control deal combat damage to a player, create a Treasure token. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.) {3}, Sacrifice two Treasures: Put two +1/+1 counters on each creature you control. Activate only as a sorcery.","images/card_art/Olivia,_Opulent_Outlaw/Olivia,_Opulent_Outlaw_otc_2_55e6c31b.png"
the-nobles,Sanctum Seeker,Drain,,default,Normal,0.28,Black,4,rare,Creature,0.49,"Whenever a Vampire you control attacks, each opponent loses 1 life and you gain 1 life.",images/card_art/Sanctum_Seeker/Sanctum_Seeker_j25_485_fef94159.png
the-nobles,"Olivia, Crimson Bride",Recursion,,default,Normal,0.39,"Red,Black",6,mythic,Creature,8.99,"Flying, haste Whenever Olivia attacks, return target creature card from your graveyard to the battlefield tapped and attacking. It gains ""When you don't control a legendary Vampire, exile this creature.""","images/card_art/Olivia,_Crimson_Bride/Olivia,_Crimson_Bride_pvow_245p_56cb291e.png"
the-nobles,"Aclazotz, Deepest Betrayal // Temple of the Dead",Discard,,default,Normal,0.71,Black,5,mythic,"Creature,Land",8.99,"Flying, lifelink Whenever Aclazotz attacks, each opponent discards a card. For each opponent who can't, you draw a card. Whenever an opponent discards a land card, create a 1/1 black Bat creature token with flying. When Aclazotz dies, return it to the battlefield tapped and transformed under its owner's control. // (Transforms from Aclazotz, Deepest Betrayal.) {T}: Add {B}. {2}{B}, {T}: Transform this land. Activate only if a player has one or fewer cards in hand and only as a sorcery.","images/card_art/Aclazotz,_Deepest_Betrayal_Temple_of_the_Dead/Aclazotz,_Deepest_Betrayal_Temple_of_the_Dead_lci_88_627c392c_front.png"
the-nobles,"Ojer Taq, Deepest Foundation // Temple of Civilization",Tokens,,default,Normal,0.98,White,6,mythic,"Creature,Land",39.99,"Vigilance If one or more creature tokens would be created under your control, three times that many of those tokens are created instead. When Ojer Taq dies, return it to the battlefield tapped and transformed under its owner's control. // (Transforms from Ojer Taq, Deepest Foundation.) {T}: Add {W}. {2}{W}, {T}: Transform this land. Activate only if you attacked with three or more creatures this turn and only as a sorcery.","images/card_art/Ojer_Taq,_Deepest_Foundation_Temple_of_Civilization/Ojer_Taq,_Deepest_Foundation_Temple_of_Civilization_lci_26_1ca79dd4_front.png"
the-nobles,Godless Shrine,Land,,default,Normal,0.13,,0,rare,Land,13.99,"({T}: Add {W} or {B}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.",images/card_art/Godless_Shrine/Godless_Shrine_gtc_242_6fd672bb.png
the-nobles,Shadowy Backstreet,Land,,default,Normal,0.17,,0,rare,Land,17.99,"({T}: Add {W} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",images/card_art/Shadowy_Backstreet/Shadowy_Backstreet_mkm_268_69c1b656.png
the-nobles,Path of Ancestry,Land,,default,Normal,0.13,,0,common,Land,0.39,"This land enters tapped. {T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",images/card_art/Path_of_Ancestry/Path_of_Ancestry_afc_254_4ae7a4a1.png
the-nobles,Command Tower,Land,,default,Normal,0.38,,0,common,Land,0.79,{T}: Add one mana of any color in your commander's color identity.,images/card_art/Command_Tower/Command_Tower_40k_270_7cf39d35.png
the-nobles,Savai Triome,Land,,default,Normal,0.27,,0,rare,Land,29.99,"({T}: Add {R}, {W}, or {B}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",images/card_art/Savai_Triome/Savai_Triome_iko_253_748e6a61.png
the-nobles,Marsh Flats,Land,,default,Normal,0.33,,0,rare,Land,34.99,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.",images/card_art/Marsh_Flats/Marsh_Flats_mh2_248_9db3ba6d.png
the-nobles,Shattered Sanctum,Land,,default,Normal,0.06,,0,rare,Land,6.49,This land enters tapped unless you control two or more other lands. {T}: Add {W} or {B}.,images/card_art/Shattered_Sanctum/Shattered_Sanctum_inr_283_89bec47e.png
the-nobles,Raucous Theater,Land,,default,Normal,0.2,,0,rare,Land,19.99,"({T}: Add {B} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",images/card_art/Raucous_Theater/Raucous_Theater_mkm_266_b598c93e.png
the-nobles,Bloodstained Mire,Land,,default,Normal,0.19,,0,rare,Land,22.99,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.",images/card_art/Bloodstained_Mire/Bloodstained_Mire_ktk_230_7f430794.png
the-nobles,Elegant Parlor,Land,,default,Normal,0.11,,0,rare,Land,17.99,"({T}: Add {R} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",images/card_art/Elegant_Parlor/Elegant_Parlor_mkm_260_72c6d541.png
the-nobles,Arid Mesa,Land,,default,Normal,0.2,,0,rare,Land,34.99,"{T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.",images/card_art/Arid_Mesa/Arid_Mesa_mh2_244_25ac5405.png
the-nobles,Sacred Foundry,Land,,default,Normal,0.16,,0,rare,Land,15.99,"({T}: Add {R} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.",images/card_art/Sacred_Foundry/Sacred_Foundry_sld_131_52e55b85.png
the-nobles,Haunted Ridge,Land,,default,Normal,0.18,,0,rare,Land,11.99,This land enters tapped unless you control two or more other lands. {T}: Add {B} or {R}.,images/card_art/Haunted_Ridge/Haunted_Ridge_inr_280_32f1e668.png
the-nobles,Voldaren Estate,Land,,default,Normal,0.09,,0,rare,Land,0.59,"{T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a Vampire spell. {5}, {T}: Create a Blood token. This ability costs {1} less to activate for each Vampire you control. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")",images/card_art/Voldaren_Estate/Voldaren_Estate_lcc_369_1fcbc704.png
the-nobles,Secluded Courtyard,Land,,default,Normal,0.02,,0,uncommon,Land,0.59,"As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.",images/card_art/Secluded_Courtyard/Secluded_Courtyard_ltc_330_a49a20ea.png
the-nobles,Sundown Pass,Land,,default,Normal,0.11,,0,rare,Land,12.99,This land enters tapped unless you control two or more other lands. {T}: Add {R} or {W}.,images/card_art/Sundown_Pass/Sundown_Pass_inr_286_12ca1b4f.png
the-nobles,Vault of the Archangel,Land,,default,Normal,0.24,,0,rare,Land,1.79,"{T}: Add {C}. {2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.",images/card_art/Vault_of_the_Archangel/Vault_of_the_Archangel_clb_927_e1004cea.png
the-nobles,"Takenuma, Abandoned Mire",Land,,default,Normal,0.22,,0,rare,Land,15.99,"{T}: Add {B}. Channel — {3}{B}, Discard this card: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control.","images/card_art/Takenuma,_Abandoned_Mire/Takenuma,_Abandoned_Mire_neo_278_499037cc.png"
the-nobles,"Anje, Maid of Dishonor",Draw,,default,Normal,0.35,"Red,Black",4,rare,Creature,0.79,"Whenever Anje and/or one or more other Vampires you control enter, create a Blood token. This ability triggers only once each turn. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."") {2}, Sacrifice another creature or a Blood token: Each opponent loses 2 life and you gain 2 life.","images/card_art/Anje,_Maid_of_Dishonor/Anje,_Maid_of_Dishonor_pvow_231s_3b2b39d7.png"
the-nobles,Bloodletter of Aclazotz,Drain,,default,Normal,1.09,Black,4,mythic,Creature,37.99,"Flying If an opponent would lose life during your turn, they lose twice that much life instead. (Damage causes loss of life.)",images/card_art/Bloodletter_of_Aclazotz/Bloodletter_of_Aclazotz_lci_92_d4f6027a.png
the-nobles,Bloodthirsty Conqueror,Lifegain,,default,Normal,1.31,Black,5,mythic,Creature,44.99,"Flying, deathtouch Whenever an opponent loses life, you gain that much life. (Damage causes loss of life.)",images/card_art/Bloodthirsty_Conqueror/Bloodthirsty_Conqueror_fdn_58_ce860ed4.png
the-nobles,Roaming Throne,Copy,,default,Normal,1.45,,4,rare,"Creature,Artifact",74.99,"Ward {2} As this creature enters, choose a creature type. This creature is the chosen type in addition to its other types. If a triggered ability of another creature you control of the chosen type triggers, it triggers an additional time.",images/card_art/Roaming_Throne/Roaming_Throne_lci_258_32fd8b7c.png
the-nobles,Crackling Doom,Removal,,default,Normal,0.31,"White,Red,Black",3,uncommon,Instant,0.39,Crackling Doom deals 2 damage to each opponent. Each opponent sacrifices a creature with the greatest power among creatures that player controls.,images/card_art/Crackling_Doom/Crackling_Doom_c16_191_de200da1.png
the-nobles,March of the Canonized,Tokens,,default,Normal,0.22,White,2,rare,Enchantment,0.69,"When this enchantment enters, create X 1/1 white Vampire creature tokens with lifelink. At the beginning of your upkeep, if your devotion to white and black is seven or greater, create a 4/3 white and black Vampire Demon creature token with flying.",images/card_art/March_of_the_Canonized/March_of_the_Canonized_lcc_73_547581d0.png
the-nobles,Forerunner of the Legion,Tutor,,default,Normal,0.62,White,3,uncommon,Creature,2.49,"When this creature enters, you may search your library for a Vampire card, reveal it, then shuffle and put that card on top. Whenever another Vampire you control enters, target creature gets +1/+1 until end of turn.",images/card_art/Forerunner_of_the_Legion/Forerunner_of_the_Legion_rix_9_10718d37.png
the-nobles,Akroma's Will,Protection,,default,Normal,1.18,White,4,rare,Instant,16.99,"Choose one. If you control a commander as you cast this spell, you may choose both instead. • Creatures you control gain flying, vigilance, and double strike until end of turn. • Creatures you control gain lifelink, indestructible, and protection from each color until end of turn.",images/card_art/Akroma's_Will/Akroma's_Will_cmr_3_c281997b.png
the-nobles,"Florian, Voldaren Scion",Draw,,default,Normal,0.22,"Red,Black",3,rare,Creature,0.79,"First strike At the beginning of each of your postcombat main phases, look at the top X cards of your library, where X is the total amount of life your opponents lost this turn. Exile one of those cards and put the rest on the bottom of your library in a random order. You may play the exiled card this turn.","images/card_art/Florian,_Voldaren_Scion/Florian,_Voldaren_Scion_dsc_217_3377d600.png"
the-nobles,Malakir Rebirth // Malakir Mire,Protection,,default,Normal,0.21,Black,1,uncommon,"Instant,Land",15.99,"Choose target creature. You lose 2 life. Until end of turn, that creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control."" // This land enters tapped. {T}: Add {B}.",images/card_art/Malakir_Rebirth_Malakir_Mire/Malakir_Rebirth_Malakir_Mire_znr_111_609d3ecf_front.png
the-nobles,Tarrian's Journal // The Tomb of Aclazotz,Draw,,default,Normal,0.13,Black,2,rare,"Artifact,Land",0.79,"{T}, Sacrifice another artifact or creature: Draw a card. Activate only as a sorcery. {2}, {T}, Discard your hand: Transform Tarrian's Journal. // (Transforms from Tarrian's Journal.) {T}: Add {B}. {T}: You may cast a creature spell from your graveyard this turn. If you do, it enters with a finality counter on it and is a Vampire in addition to its other types. (If a creature with a finality counter on it would die, exile it instead.)",images/card_art/Tarrian's_Journal_The_Tomb_of_Aclazotz/Tarrian's_Journal_The_Tomb_of_Aclazotz_lci_126_99255a66_front.png
the-nobles,Phyrexian Reclamation,Recursion,,default,Normal,0.37,Black,1,uncommon,Enchantment,2.99,"{1}{B}, Pay 2 life: Return target creature card from your graveyard to your hand.",images/card_art/Phyrexian_Reclamation/Phyrexian_Reclamation_c13_88_50186729.png
the-nobles,Thought Vessel,Ramp,,default,Normal,0.27,,2,common,Artifact,3.49,You have no maximum hand size. {T}: Add {C}.,images/card_art/Thought_Vessel/Thought_Vessel_blc_289_b7a24bfc.png
the-nobles,Champion of Dusk,Draw,,default,Normal,0.22,Black,5,rare,Creature,0.69,"When this creature enters, you draw X cards and you lose X life, where X is the number of Vampires you control.",images/card_art/Champion_of_Dusk/Champion_of_Dusk_lcc_188_5fa1674a.png
the-nobles,Vault of Champions,Land,,default,Normal,0.21,,0,rare,Land,20.99,This land enters tapped unless you have two or more opponents. {T}: Add {W} or {B}.,images/card_art/Vault_of_Champions/Vault_of_Champions_cmm_436_cafd7db6.png
the-nobles,"Elenda, Saint of Dusk",Lifegain,,default,Normal,0.19,"White,Black",4,rare,Creature,0.59,"Lifelink, hexproof from instants As long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total.","images/card_art/Elenda,_Saint_of_Dusk/Elenda,_Saint_of_Dusk_fdn_119_24955f5f.png"
the-nobles,Blightstep Pathway // Searstep Pathway,Land,,default,Normal,0.03,,0,rare,"Land,Land",8.99,{T}: Add {B}. // {T}: Add {R}.,images/card_art/Blightstep_Pathway_Searstep_Pathway/Blightstep_Pathway_Searstep_Pathway_khm_252_0ce39a19_front.png
the-nobles,Needleverge Pathway // Pillarverge Pathway,Land,,default,Normal,0.13,,0,rare,"Land,Land",4.99,{T}: Add {R}. // {T}: Add {W}.,images/card_art/Needleverge_Pathway_Pillarverge_Pathway/Needleverge_Pathway_Pillarverge_Pathway_plst_ZNR-263_1c276e74_front.png
the-nobles,We Ride at Dawn,Ramp,,default,Normal,0,White,3,rare,Enchantment,0.49,"Legendary creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a legendary creature spell pays for {1} or one mana of that creature's color.) Whenever your commander attacks, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",images/card_art/We_Ride_at_Dawn/We_Ride_at_Dawn_otc_12_fd95daa3.png
the-nobles,Brightclimb Pathway // Grimclimb Pathway,Land,,default,Normal,0.14,,0,rare,"Land,Land",5.99,{T}: Add {W}. // {T}: Add {B}.,images/card_art/Brightclimb_Pathway_Grimclimb_Pathway/Brightclimb_Pathway_Grimclimb_Pathway_plst_ZNR-259_6a91d75c_front.png
the-nobles,Edgar Markov,Commander,,default,Normal,2.05,"White,Red,Black",6,mythic,Creature,39.99,"Eminence — Whenever you cast another Vampire spell, if Edgar is in the command zone or on the battlefield, create a 1/1 black Vampire creature token. First strike, haste Whenever Edgar attacks, put a +1/+1 counter on each Vampire you control.",images/card_art/Edgar_Markov/Edgar_Markov_inr_234_a577ba08.png
the-nobles,Black Market Connections,Draw,,default,Normal,0.56,Black,3,rare,Enchantment,22.99,"At the beginning of your first main phase, choose one or more — • Sell Contraband — Create a Treasure token. You lose 1 life. • Buy Information — Draw a card. You lose 2 life. • Hire a Mercenary — Create a 3/2 colorless Shapeshifter creature token with changeling. You lose 3 life. (It is every creature type.)",images/card_art/Black_Market_Connections/Black_Market_Connections_clb_669_d13cb0d3.png
the-nobles,Detection Tower,Land,,default,Normal,0.19,,0,rare,Land,3.49,"{T}: Add {C}. {1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.",images/card_art/Detection_Tower/Detection_Tower_m19_249_02f99756.png
the-nobles,"Vito, Fanatic of Aclazotz",Drain,,default,Normal,0.47,"White,Black",4,mythic,Creature,0.99,"Flying Whenever you sacrifice another permanent, you gain 2 life if this is the first time this ability has resolved this turn. If it's the second time, each opponent loses 2 life. If it's the third time, create a 4/3 white and black Vampire Demon creature token with flying.","images/card_art/Vito,_Fanatic_of_Aclazotz/Vito,_Fanatic_of_Aclazotz_lci_243_c4fd9047.png"
