card name,types,art
Champion of Dusk,"Creature","images/card_art/Champion_of_Dusk/Champion_of_Dusk_lcc_188_5fa1674a.png"
Charismatic Conqueror,"Creature","images/card_art/Charismatic_Conqueror/Charismatic_Conqueror_lcc_38_aa65e964.png"
Command Tower,"Land","images/card_art/Command_Tower/Command_Tower_40k_270_7cf39d35.png"
Cordial Vampire,"Creature","images/card_art/Cordial_Vampire/Cordial_Vampire_j21_306_62a3e06b.png"
Crackling Doom,"Instant","images/card_art/Crackling_Doom/Crackling_Doom_c16_191_de200da1.png"
Damn,"Sorcery","images/card_art/Damn/Damn_aa2_8_9241dc90.png"
Dazzling Theater // Prop Room,"Enchantment","images/card_art/Dazzling_Theater_Prop_Room/Dazzling_Theater_Prop_Room_dsk_3_8e2fae80.png"
Demonic Tutor,"Sorcery","images/card_art/Demonic_Tutor/Demonic_Tutor_2ed_105_c8d5d6a5.png"
Detection Tower,"Land","images/card_art/Detection_Tower/Detection_Tower_m19_249_02f99756.png"
"Drana, Liberator of Malakir","Creature","images/card_art/Drana,_Liberator_of_Malakir/Drana,_Liberator_of_Malakir_bfz_109_d3f6ed18.png"
Edgar Markov,"Creature","images/card_art/Edgar_Markov/Edgar_Markov_inr_234_a577ba08.png"
"Edgar, Charmed Groom // Edgar Markov's Coffin","Creature,Artifact","images/card_art/Edgar,_Charmed_Groom_Edgar_Markov's_Coffin/Edgar,_Charmed_Groom_Edgar_Markov's_Coffin_dbl_503_78f57a41_front.png"
Elegant Parlor,"Land","images/card_art/Elegant_Parlor/Elegant_Parlor_mkm_260_72c6d541.png"
"Elenda, Saint of Dusk","Creature","images/card_art/Elenda,_Saint_of_Dusk/Elenda,_Saint_of_Dusk_fdn_119_24955f5f.png"
Enlightened Tutor,"Instant","images/card_art/Enlightened_Tutor/Enlightened_Tutor_6ed_19_e869da95.png"
Exquisite Blood,"Enchantment","images/card_art/Exquisite_Blood/Exquisite_Blood_avr_102_4cd54279.png"
Falkenrath Gorger,"Creature","images/card_art/Falkenrath_Gorger/Falkenrath_Gorger_inr_152_16c376f5.png"
"Florian, Voldaren Scion","Creature","images/card_art/Florian,_Voldaren_Scion/Florian,_Voldaren_Scion_dsc_217_3377d600.png"
Forerunner of the Legion,"Creature","images/card_art/Forerunner_of_the_Legion/Forerunner_of_the_Legion_rix_9_10718d37.png"
Godless Shrine,"Land","images/card_art/Godless_Shrine/Godless_Shrine_clu_276_e221e498.png"
Haunted Ridge,"Land","images/card_art/Haunted_Ridge/Haunted_Ridge_inr_280_32f1e668.png"
Heirloom Mirror // Inherited Fiend,"Artifact,Creature","images/card_art/Heirloom_Mirror_Inherited_Fiend/Heirloom_Mirror_Inherited_Fiend_mid_105_e6dd05f0_front.png"
Herald's Horn,"Artifact","images/card_art/Herald's_Horn/Herald's_Horn_clb_862_178274fd.png"
Honeymoon Hearse,"Artifact","images/card_art/Honeymoon_Hearse/Honeymoon_Hearse_vow_160_04e491a1.png"
Imperial Seal,"Sorcery","images/card_art/Imperial_Seal/Imperial_Seal_2x2_354_0163dd21.png"
"Kamber, the Plunderer","Creature","images/card_art/Kamber,_the_Plunderer/Kamber,_the_Plunderer_otc_137_fc7714b3.png"
Knight of the Ebon Legion,"Creature","images/card_art/Knight_of_the_Ebon_Legion/Knight_of_the_Ebon_Legion_m20_105_29425426.png"
"Laurine, the Diversion","Creature","images/card_art/Laurine,_the_Diversion/Laurine,_the_Diversion_otc_172_ca2b008e.png"
Legion Lieutenant,"Creature","images/card_art/Legion_Lieutenant/Legion_Lieutenant_lcc_275_85c6bd7d.png"
Life Insurance,"Enchantment","images/card_art/Life_Insurance/Life_Insurance_dsc_224_60e1921e.png"
Luxury Suite,"Land","images/card_art/Luxury_Suite/Luxury_Suite_clb_355_6fc5fc38.png"
Malakir Rebirth // Malakir Mire,"Instant,Land","images/card_art/Malakir_Rebirth_Malakir_Mire/Malakir_Rebirth_Malakir_Mire_znr_111_609d3ecf_front.png"
March of the Canonized,"Enchantment","images/card_art/March_of_the_Canonized/March_of_the_Canonized_lcc_41_843ff967.png"
Markov Baron,"Creature","images/card_art/Markov_Baron/Markov_Baron_mat_14_a1dc6b0f.png"
Marsh Flats,"Land","images/card_art/Marsh_Flats/Marsh_Flats_exp_21_ea61e27c.png"
Master of Dark Rites,"Creature","images/card_art/Master_of_Dark_Rites/Master_of_Dark_Rites_lcc_51_35c21fc4.png"
"Mavren Fein, Dusk Apostle","Creature","images/card_art/Mavren_Fein,_Dusk_Apostle/Mavren_Fein,_Dusk_Apostle_lcc_133_fdc3e998.png"
Maze's End,"Land","images/card_art/Maze's_End/Maze's_End_fdn_727_ea9a4d1a.png"
Needleverge Pathway // Pillarverge Pathway,"Land","images/card_art/Needleverge_Pathway_Pillarverge_Pathway/Needleverge_Pathway_Pillarverge_Pathway_plst_ZNR-263_1c276e74_front.png"
"Ojer Taq, Deepest Foundation // Temple of Civilization","Creature,Land","images/card_art/Ojer_Taq,_Deepest_Foundation_Temple_of_Civilization/Ojer_Taq,_Deepest_Foundation_Temple_of_Civilization_lci_26_1ca79dd4_front.png"
"Olivia, Crimson Bride","Creature","images/card_art/Olivia,_Crimson_Bride/Olivia,_Crimson_Bride_pvow_245p_56cb291e.png"
"Olivia, Opulent Outlaw","Creature","images/card_art/Olivia,_Opulent_Outlaw/Olivia,_Opulent_Outlaw_otc_2_55e6c31b.png"
Orzhov Guildgate,"Land","images/card_art/Orzhov_Guildgate/Orzhov_Guildgate_clu_242_e59ddc7f.png"
Patchwork Banner,"Artifact","images/card_art/Patchwork_Banner/Patchwork_Banner_pmei_2024-7_36034cb5.png"
Path of Ancestry,"Land","images/card_art/Path_of_Ancestry/Path_of_Ancestry_40k_287_5410dbe8.png"
Phyrexian Reclamation,"Enchantment","images/card_art/Phyrexian_Reclamation/Phyrexian_Reclamation_c13_88_50186729.png"
Rakdos Guildgate,"Land","images/card_art/Rakdos_Guildgate/Rakdos_Guildgate_c13_314_e7c71a39.png"
Rakish Heir,"Creature","images/card_art/Rakish_Heir/Rakish_Heir_c17_140_6c216b82.png"
Raucous Theater,"Land","images/card_art/Raucous_Theater/Raucous_Theater_mkm_266_b598c93e.png"
Reanimate,"Sorcery","images/card_art/Reanimate/Reanimate_arc_21_bee3dad4.png"
Roaming Throne,"Creature,Artifact","images/card_art/Roaming_Throne/Roaming_Throne_lci_258_32fd8b7c.png"
Ruinous Ultimatum,"Sorcery","images/card_art/Ruinous_Ultimatum/Ruinous_Ultimatum_iko_204_50c1d6ca.png"
Sacred Foundry,"Land","images/card_art/Sacred_Foundry/Sacred_Foundry_sld_131_52e55b85.png"
Sanctum Seeker,"Creature","images/card_art/Sanctum_Seeker/Sanctum_Seeker_j25_485_fef94159.png"
Savai Triome,"Land","images/card_art/Savai_Triome/Savai_Triome_iko_253_748e6a61.png"
Seal of the Guildpact,"Artifact","images/card_art/Seal_of_the_Guildpact/Seal_of_the_Guildpact_c15_54_b6188abb.png"
Secluded Courtyard,"Land","images/card_art/Secluded_Courtyard/Secluded_Courtyard_cmm_1030_cb0da3a5.png"
Shadowy Backstreet,"Land","images/card_art/Shadowy_Backstreet/Shadowy_Backstreet_mkm_268_69c1b656.png"
Shattered Sanctum,"Land","images/card_art/Shattered_Sanctum/Shattered_Sanctum_dbl_531_3b946b07.png"
Sidequest: Catch a Fish // Cooking Campsite,"Enchantment,Land","images/card_art/Sidequest_Catch_a_Fish_Cooking_Campsite/Sidequest_Catch_a_Fish_Cooking_Campsite_fin_31_bdb5452e_front.png"
Smothering Tithe,"Enchantment","images/card_art/Smothering_Tithe/Smothering_Tithe_2x2_31_f25a4bbe.png"
Sol Ring,"Artifact","images/card_art/Sol_Ring/Sol_Ring_2ed_270_e07f656c.png"
Stromkirk Captain,"Creature","images/card_art/Stromkirk_Captain/Stromkirk_Captain_c17_197_759d0e2d.png"
Sundown Pass,"Land","images/card_art/Sundown_Pass/Sundown_Pass_inr_286_12ca1b4f.png"
"Takenuma, Abandoned Mire","Land","images/card_art/Takenuma,_Abandoned_Mire/Takenuma,_Abandoned_Mire_neo_278_499037cc.png"
Tarrian's Journal // The Tomb of Aclazotz,"Artifact,Land","images/card_art/Tarrian's_Journal_The_Tomb_of_Aclazotz/Tarrian's_Journal_The_Tomb_of_Aclazotz_lci_126_99255a66_front.png"
The Meathook Massacre,"Enchantment","images/card_art/The_Meathook_Massacre/The_Meathook_Massacre_inr_122_70d0540f.png"
Thought Vessel,"Artifact","images/card_art/Thought_Vessel/Thought_Vessel_40k_259_ebf52151.png"
"Urborg, Tomb of Yawgmoth","Land","images/card_art/Urborg,_Tomb_of_Yawgmoth/Urborg,_Tomb_of_Yawgmoth_ltc_375_4116f1c7.png"
Vampire Socialite,"Creature","images/card_art/Vampire_Socialite/Vampire_Socialite_mid_249_f07cbf04.png"
Vampiric Tutor,"Instant","images/card_art/Vampiric_Tutor/Vampiric_Tutor_6ed_161_c8505bc8.png"
Vanquisher's Banner,"Artifact","images/card_art/Vanquisher's_Banner/Vanquisher's_Banner_cmm_982_8162961c.png"
Vault of Champions,"Land","images/card_art/Vault_of_Champions/Vault_of_Champions_cmm_436_cafd7db6.png"
Vault of the Archangel,"Land","images/card_art/Vault_of_the_Archangel/Vault_of_the_Archangel_clb_927_e1004cea.png"
Victimize,"Sorcery","images/card_art/Victimize/Victimize_afc_112_1303644e.png"
"Vito, Fanatic of Aclazotz","Creature","images/card_art/Vito,_Fanatic_of_Aclazotz/Vito,_Fanatic_of_Aclazotz_lci_243_c4fd9047.png"
"Vito, Thorn of the Dusk Rose","Creature","images/card_art/Vito,_Thorn_of_the_Dusk_Rose/Vito,_Thorn_of_the_Dusk_Rose_j22_487_9c61e0ef.png"
Voldaren Estate,"Land","images/card_art/Voldaren_Estate/Voldaren_Estate_lcc_369_1fcbc704.png"
We Ride at Dawn,"Enchantment","images/card_art/We_Ride_at_Dawn/We_Ride_at_Dawn_otc_12_fd95daa3.png"
Wedding Announcement // Wedding Festivity,"Enchantment","images/card_art/Wedding_Announcement_Wedding_Festivity/Wedding_Announcement_Wedding_Festivity_inr_51_4e6f365d_front.png"
Welcoming Vampire,"Creature","images/card_art/Welcoming_Vampire/Welcoming_Vampire_lcc_140_2ea7710e.png"
White Lotus Tile,"Artifact","images/card_art/White_Lotus_Tile/White_Lotus_Tile_ptla_262s_d06dea02.png"
